"ATC-ALL FLOOR-PANEL-1 - LOOPS 1,2,3,4,5,6,7"|G100,,,,,,,,,,,,,
ADDRESS ID,AREA ID,ADDRESS,ADDRESS LABEL,ADDRESS LABEL,GAS STAGES,,,,,,,,
172,ZONE-16,N105L01M078,G100-GF-Y036-0101-CM-078,BUILDING DISTRIBUTOR ROOM 02,,,,,,,N105L01M078,1,
173,ZONE-16,N105L01M079,G100-GF-Y036-0101-CM-079,BUILDING DISTRIBUTOR ROOM 02,,,,,,,N105L01M079,1,
174,ZONE-16,N105L01M080,G100-GF-Y036-0101-CM-080,BUILDING DISTRIBUTOR ROOM 02,,,,,,,N105L01M080,1,
175,ZONE-16,N105L01M081,G100-GF-Y036-0101-MMM-081,BUILDING DISTRIBUTOR ROOM 02,,,,,,,N105L01M081,1,
176,ZONE-19,N105L01D098,G100-GF-Y036-0101-SD-098,CIRCULATION,,,,,,,N105L01D098,1,
177,ZONE-19,N105L01D099,G100-GF-Y036-0101-SD-099,CIRCULATION,,,,,,,N105L01D099,1,
178,ZONE-19,N105L01M082,G100-GF-Y036-0101-MP-082,CIRCULATION,,,,,,,N105L01M082,1,
179,ZONE-19,N105L01D100,G100-GF-Y036-0101-SD-100,CIRCULATION,,,,,,,N105L01D100,1,
180,ZONE-19,N105L01D101,G100-GF-Y036-0101-SD-101,CIRCULATION,,,,,,,N105L01D101,1,
181,ZONE-10,N105L01M013,G100-GF-Y036-0101-MM-013,ELECTRICAL ,,,,,,,N105L01M013,1,
182,ZONE-10,N105L01D102,G100-GF-Y036-0101-SHD-102,ELECTRICAL ,,,,,,,N105L01D102,1,
183,ZONE-10,N105L01D103,G100-GF-Y036-0101-SD-103,TRAINING MANAGER OFFICE,,,,,,,N105L01D103,1,
184,ZONE-10,N105L01D104,G100-GF-Y036-0101-SD-104,TRAINING MANAGER OFFICE,,,,,,,N105L01D104,1,
185,ZONE-10,N105L01D105,G100-GF-Y036-0101-SD-105,TRAINING SECRATERIA OFFICE,,,,,,,N105L01D105,1,
186,ZONE-10,N105L01D106,G100-GF-Y036-0101-SD-106,TRAINING SECRATERIA OFFICE,,,,,,,N105L01D106,1,
187,ZONE-10,N105L01D107,G100-GF-Y036-0101-SD-107,INSTRUCTORS ROOM 2,,,,,,,N105L01D107,1,
188,ZONE-10,N105L01D108,G100-GF-Y036-0101-SD-108,INSTRUCTORS ROOM 2,,,,,,,N105L01D108,1,
189,ZONE-10,N105L01D109,G100-GF-Y036-0101-SD-109,INSTRUCTORS ROOM 1,,,,,,,N105L01D109,1,
190,ZONE-10,N105L01D110,G100-GF-Y036-0101-SD-110,INSTRUCTORS ROOM 1,,,,,,,N105L01D110,1,
191,ZONE-10,N105L01D111,G100-GF-Y036-0101-SD-111,TRAINING ROOM 1,,,,,,,N105L01D111,1,
192,ZONE-10,N105L01D112,G100-GF-Y036-0101-SD-112,TRAINING ROOM 1,,,,,,,N105L01D112,1,
193,ZONE-10,N105L01M091,G100-GF-Y036-0101-RM-091,TRAINING ROOM 1,,,,,,,N105L01M091,1,
194,ZONE-10,N105L01D113,G100-GF-Y036-0101-SD-113,GUARD SHIFTING,,,,,,,N105L01D113,1,
195,ZONE-10,N105L01D114,G100-GF-Y036-0101-SD-114,GUARD SHIFTING,,,,,,,N105L01D114,1,
196,ZONE-45,N105L01D122,G100-GF-Y036-0101-SD-122,ELEV.MECH,,,,,,,N105L01D122,1,
197,ZONE-44,N105L01M096,G100-GF-Y036-0101-MM-096,EMERGENCY LIGHTING BATTERY,"GS-Z1 ,STAGE 1 ALARM",,,,,,N105L01M096,1,
198,ZONE-44,N105L01M097,G100-GF-Y036-0101-MM-097,EMERGENCY LIGHTING BATTERY,"GS-Z2,STAGE 2 ALARM",,,,,,N105L01M097,1,
199,ZONE-44,N105L01M098,G100-GF-Y036-0101-MM-098,EMERGENCY LIGHTING BATTERY,"GS-GD,GAS DISCHARGE",,,,,,N105L01M098,1,
200,ZONE-44,N105L01M099,G100-GF-Y036-0101-MM-099,EMERGENCY LIGHTING BATTERY,"GS-T,TROUBLE",,,,,,N105L01M099,1,
201,ZONE-43,N105L01M100,G100-GF-Y036-0101-MM-100,SDB,"GS-Z1 ,STAGE 1 ALARM",,,,,,N105L01M100,1,
202,ZONE-43,N105L01M101,G100-GF-Y036-0101-MM-101,SDB,"GS-Z2,STAGE 2 ALARM",,,,,,N105L01M101,1,
