LOAD CENTRE - A  GENERATOR PLANT| C110 ,,,,,,,,,,,,,,
ADDRESS ID,AREA ID,AL01DL01DRESS,ADDRESS LABEL, ROOM NO / ADDRESS LABEL, ROOM NO,ADDRESS LABEL,INTERFACE,,,,,,,
121,ZONE-16,N171L02M016,C110-GF-Y036-0202-RM-016,02-GF-CI-04 / CIRCULATION,02-GF-CI-04,CIRCULATION,,,,,,,,
122,ZONE-16,N171L02D001,C110-GF-Y036-0202-SD-001,02-GF-CI-04 / CIRCULATION,02-GF-CI-04,CIRCULATION,,,,,,,,
123,ZONE-16,N171L02M017,C110-GF-Y036-0202-MM-017,02-GF-CI-04 / CIRCULATION,02-GF-CI-04,CIRCULATION,,,,,,,,
124,ZONE-16,N171L02M018,C110-GF-Y036-0202-MM-018,02-GF-CI-04 / CIRCULATION,02-GF-CI-04,CIRCULATION,,,,,,,,
125,ZONE-16,N171L02M024,C110-GF-Y036-0202-MM-024,02-GF-CI-04 / CIRCULATION,02-GF-CI-04,CIRCULATION,,,,,,,,
126,ZONE-04,N171L02D002,C110-GF-Y036-0202-SD-002,02-ST-02 / STAIRS 02,02-ST-02,STAIRS 02,,,,,,,,
127,ZONE-16,N171L02M019,C110-GF-Y036-0202-MM-019,02-GF-CI-04 / CIRCULATION,02-GF-CI-04,CIRCULATION,,,,,,,,
128,ZONE-16,N171L02M020,C110-GF-Y036-0202-MM-020,02-GF-CI-04 / CIRCULATION,02-GF-CI-04,CIRCULATION,,,,,,,,
129,ZONE-16,N171L02M021,C110-GF-Y036-0202-MM-021,02-GF-CI-05 / LIFT LOBBY,02-GF-CI-05,LIFT LOBBY,,,,,,,,
130,ZONE-16,N171L02M022,C110-GF-Y036-0202-MM-022,02-GF-CI-05 / LIFT LOBBY,02-GF-CI-05,LIFT LOBBY,,,,,,,,
131,ZONE-16,N171L02D003,C110-GF-Y036-0202-SD-003,02-GF-CI-05 / LIFT LOBBY,02-GF-CI-05,LIFT LOBBY,,,,,,,,
132,ZONE-16,N171L02D004,C110-GF-Y036-0202-SHD-004,02-GF-TR / AIR INTAKE PLENUM,02-GF-TR,AIR INTAKE PLENUM,,,,,,,,
133,ZONE-16,N171L02D005,C110-GF-Y036-0202-SD-005,02-GF-CI-04 / CIRCULATION,02-GF-CI-04,CIRCULATION,,,,,,,,
134,ZONE-18,N171L02M027,C110-GF-Y036-0202-MM-027,02-GF-TR-15 / MV SWITCH GEAR,02-GF-TR-15,MV SWITCH GEAR,,,,,,,,
135,ZONE-18,N171L02M028,C110-GF-Y036-0202-MM-028,02-GF-TR-15 / MV SWITCH GEAR,02-GF-TR-15,MV SWITCH GEAR,,,,,,,,
136,ZONE-18,N171L02M029,C110-GF-Y036-0202-MM-029,02-GF-TR-15 / MV SWITCH GEAR,02-GF-TR-15,MV SWITCH GEAR,,,,,,,,
137,ZONE-18,N171L02M030,C110-GF-Y036-0202-MM-030,02-GF-TR-15 / MV SWITCH GEAR,02-GF-TR-15,MV SWITCH GEAR,,,,,,,,
138,ZONE-16,N171L02D006,C110-GF-Y036-0202-SD-006,02-GF-CI-04 / CIRCULATION,02-GF-CI-04,CIRCULATION,,,,,,,,
139,ZONE-16,N171L02D007,C110-GF-Y036-0202-SHD-007,02-GF-TR / AIR INTAKE PLENUM,02-GF-TR,AIR INTAKE PLENUM,,,,,,,,
140,ZONE-16,N171L02D008,C110-GF-Y036-0202-SHD-008,02-GF-TR / AIR INTAKE PLENUM,02-GF-TR,AIR INTAKE PLENUM,,,,,,,,
